LOGRECNO,GEOID,Population 15 years and over in the United States,Median income 
10612,86000US01001,14441,29978
10613,86000US01002,26281,13128
10614,86000US01003,10986,2907
10615,86000US01005,4338,35984
10616,86000US01007,11839,32462
10617,86000US01008,985,35302
10618,86000US01009,616,23636
10619,86000US01010,2971,35985
10620,86000US01011,1148,30679
10621,86000US01012,496,29207
10622,86000US01013,18235,23201
10623,86000US01020,25645,27055
10624,86000US01022,2560,41142
10625,86000US01026,926,28950
10626,86000US01027,15211,30608
10627,86000US01028,12794,33889
10628,86000US01029,533,31250
10629,86000US01030,9400,34324
10630,86000US01031,1253,26960
10631,86000US01032,510,38021
10632,86000US01033,5257,36015
10633,86000US01034,1819,32264
10634,86000US01035,4546,32259
10635,86000US01036,4382,33896
10636,86000US01037,598,28958
10637,86000US01038,2307,38438
10638,86000US01039,1414,30965
10639,86000US01040,31861,17763
10640,86000US01050,1946,30891
10641,86000US01053,1634,23663
10642,86000US01054,1522,37262
10643,86000US01056,17951,31412
10644,86000US01057,7183,32039
10645,86000US01060,13284,24751
10646,86000US01062,9021,35998
10647,86000US01063,644,2499
10648,86000US01066,0,.
10649,86000US01068,1495,37401
10650,86000US01069,7391,27394
10651,86000US01070,523,26607
10652,86000US01071,1139,43343
10653,86000US01072,1200,35469
10654,86000US01073,4770,34508
10655,86000US01074,56,40625
10656,86000US01075,15550,30698
10657,86000US01077,7910,31997
10658,86000US01079,479,28682
10659,86000US01080,1706,22054
10660,86000US01081,1429,31090
10661,86000US01082,8524,27207
10662,86000US01083,2476,23380
10663,86000US01084,191,26875
10664,86000US01085,33576,28394
10665,86000US01086,1219,2499
10666,86000US01088,451,29063
10667,86000US01089,23532,27293
10668,86000US01092,879,43750
10669,86000US01093,257,31719
10670,86000US01094,295,18561
10671,86000US01095,12030,37640
10672,86000US01096,1851,33325
10673,86000US01097,71,10729
10674,86000US01098,941,34643
10675,86000US01103,2178,11278
10676,86000US01104,18201,18454
10677,86000US01105,8932,11880
10678,86000US01106,13001,40589
10679,86000US01107,8285,12588
10680,86000US01108,19663,18243
10681,86000US01109,24473,15171
10682,86000US01118,11302,34829
10683,86000US01119,11640,22201
10684,86000US01128,2234,32025
10685,86000US01129,6005,32014
10686,86000US01151,6565,17387
10687,86000US01199,0,.
10688,86000US01201,38492,24612
10689,86000US01220,7145,22794
10690,86000US01222,704,36129
10691,86000US01223,2070,23669
10692,86000US01224,224,32986
10693,86000US01225,2556,28149
10694,86000US01226,5927,26122
10695,86000US01229,78,33333
10696,86000US01230,7212,25148
10697,86000US01235,2450,28173
10698,86000US01236,1388,25129
10699,86000US01237,2113,34180
10700,86000US01238,5391,31342
10701,86000US01240,3925,26277
10702,86000US01242,140,32885
10703,86000US01243,313,31848
10704,86000US01244,133,25250
10705,86000US01245,626,22083
10706,86000US01247,13801,19886
10707,86000US01253,628,31985
10708,86000US01254,865,39625
10709,86000US01255,777,29732
10710,86000US01256,573,31161
10711,86000US01257,1884,27297
10712,86000US01258,294,30972
10713,86000US01259,537,33393
10714,86000US01260,220,13333
10715,86000US01262,1084,28551
10716,86000US01264,159,35000
10717,86000US01266,1249,39735
10718,86000US01267,6993,22605
10719,86000US01270,681,32269
10720,86000US01301,15093,25430
10721,86000US01330,1318,34958
10722,86000US01331,10907,26742
10723,86000US01337,2204,28987
10724,86000US01338,162,33750
10725,86000US01339,1382,28295
10726,86000US01340,1523,26817
10727,86000US01341,1360,33397
10728,86000US01342,1182,52292
10729,86000US01343,68,45000
10730,86000US01344,1213,30307
10731,86000US01346,400,28750
10732,86000US01347,79,20789
10733,86000US01349,786,24701
10734,86000US01350,100,28636
10735,86000US01351,1991,30718
10736,86000US01354,1342,36055
10737,86000US01355,807,35652
10738,86000US01360,2530,32297
10739,86000US01364,6424,21208
10740,86000US01366,1156,30515
10741,86000US01367,454,25139
10742,86000US01368,983,31736
10743,86000US01370,3565,28690
10744,86000US01373,3717,33693
10745,86000US01375,3315,24111
10746,86000US01376,4510,24058
10747,86000US01378,588,34135
10748,86000US01379,852,22000
10749,86000US01420,32854,22011
10750,86000US01430,5043,39409
10751,86000US01431,2551,29947
10752,86000US01432,6114,34692
10753,86000US01434,1595,14741
10754,86000US01436,3115,30091
10755,86000US01438,269,23125
10756,86000US01440,17022,24157
10757,86000US01450,8533,53673
10758,86000US01451,3991,45924
10759,86000US01452,3699,38929
10760,86000US01453,33963,28419
10761,86000US01460,7334,45306
10762,86000US01462,8582,37026
10763,86000US01463,9426,36463
10764,86000US01464,6404,23947
10765,86000US01467,289,42328
10766,86000US01468,3191,33568
10767,86000US01469,5490,37523
10768,86000US01473,5996,38538
10769,86000US01474,1663,39875
10770,86000US01475,8436,27273
10771,86000US01501,13372,33173
10772,86000US01503,2418,38271
10773,86000US01504,7581,35567
10774,86000US01505,3578,43389
10775,86000US01506,2842,27992
10776,86000US01507,10534,41966
10777,86000US01510,11530,32619
10778,86000US01515,1920,29382
10779,86000US01516,6702,40132
10780,86000US01518,2118,36694
10781,86000US01519,4964,43650
10782,86000US01520,11461,41879
10783,86000US01521,2089,32354
10784,86000US01522,2579,42474
10785,86000US01523,6591,33355
10786,86000US01524,5748,29783
10787,86000US01525,119,44036
10788,86000US01527,11241,33127
10789,86000US01529,2502,32718
10790,86000US01531,828,36500
10791,86000US01532,11455,41938
10792,86000US01534,4065,37101
10793,86000US01535,3821,33206
10794,86000US01536,5931,37003
10795,86000US01537,1965,31795
10796,86000US01540,8956,32445
10797,86000US01541,2674,52782
10798,86000US01542,1510,38469
10799,86000US01543,6254,36661
10800,86000US01545,28278,42443
10801,86000US01550,13458,23319
10802,86000US01560,3319,44745
10803,86000US01561,174,14306
10804,86000US01562,9330,27001
10805,86000US01564,6241,44271
10806,86000US01566,5333,42530
10807,86000US01568,5742,41512
10808,86000US01569,11048,36740
10809,86000US01570,14102,24821
10810,86000US01571,9198,33942
10811,86000US01581,14503,45990
10812,86000US01583,6707,34599
10813,86000US01585,3915,30652
10814,86000US01588,8239,29046
10815,86000US01590,7014,46948
10816,86000US01602,19615,31417
10817,86000US01603,16024,24244
10818,86000US01604,28188,29015
10819,86000US01605,21423,21410
10820,86000US01606,15977,35691
10821,86000US01607,7276,28309
10822,86000US01608,2645,15389
10823,86000US01609,18559,14869
10824,86000US01610,19579,13215
10825,86000US01611,2110,31125
10826,86000US01612,3928,34662
10827,86000US01701,25613,39373
10828,86000US01702,31279,25783
10829,86000US01718,259,69500
10830,86000US01719,4216,63158
10831,86000US01720,17051,52976
10832,86000US01721,13945,47294
10833,86000US01730,10892,47086
10834,86000US01731,909,44879
10835,86000US01740,3774,54099
10836,86000US01741,3834,65707
10837,86000US01742,15127,52304
10838,86000US01745,283,42228
10839,86000US01746,10711,46163
10840,86000US01747,4718,42282
10841,86000US01748,11195,57819
10842,86000US01749,15992,34279
10843,86000US01752,31899,34522
10844,86000US01754,8198,36766
10845,86000US01756,4617,41935
10846,86000US01757,22460,33373
10847,86000US01760,26918,48820
10848,86000US01770,3270,63827
10849,86000US01772,7331,56807
10850,86000US01773,3924,62720
